SubjID,nw_target,nw_response_time,nw_famsize,simp_comp,nw_LogBf
108,weldic,567,S,COMP,4.86
108,humidous,429,S,COMP,4.52
108,begenge,562,L,SIMP,6.4
108,addment,574,L,COMP,8.68
108,heirig,675,S,SIMP,5.35
108,illist,884,L,COMP,7.77
108,bearilt,665,L,SIMP,7.87
108,fanful,685,S,COMP,6.16
108,inkism,625,L,COMP,5.67
108,figer,634,S,COMP,5.28
108,gumfil,874,S,SIMP,4.04
108,ejectence,707,S,COMP,4.19
108,ripence,641,L,COMP,6.15
108,adoptish,651,S,COMP,7.09
108,rampime,608,S,SIMP,4.55
108,bloodel,607,L,SIMP,8.29
108,heightence,667,S,COMP,6.82
108,winkidy,816,S,SIMP,5.38
109,beanish,927,L,SIMP,6.05
109,advertisely,994,S,SIMP,1.56
109,ripenge,894,L,COMP,6.15
109,inkilm,850,L,COMP,5.67
109,tiltary,919,S,SIMP,5.79
109,flitenge,989,L,COMP,6.4
109,ime,815,L,COMP,7.84
109,rampize,734,S,SIMP,4.55
109,blooder,766,L,SIMP,8.29
109,digory,847,S,SIMP,6.66
109,branchel,647,S,COMP,7.43
109,heightenge,875,S,COMP,6.82
109,coldidy,700,L,COMP,8.18
109,witchish,770,L,SIMP,6.79
109,bearist,993,L,SIMP,7.87
109,opposement,779,S,SIMP,6.9
109,flipody,561,L,COMP,5.21
109,fanfil,735,S,COMP,6.16
109,weldig,621,S,COMP,4.86
109,bogary,599,L,SIMP,5.56
109,figel,587,S,COMP,5.28
109,gumful,793,S,SIMP,4.04
109,begence,685,L,SIMP,6.4
109,criticance,787,L,SIMP,7.91
109,towerly,583,L,SIMP,7.07
109,medicalary,0,S,SIMP,7.19
109,treasonime,528,S,COMP,4.93
109,nextness,979,S,SIMP,8.91
109,angelith,730,L,COMP,6.48
109,zoomful,833,S,SIMP,3.53
109,taxful,600,L,SIMP,7.92
109,beerel,612,S,COMP,6.75
109,longness,792,L,SIMP,9.86
109,princemant,714,S,COMP,6.81
109,elbowism,555,L,SIMP,7.47
