SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S103,849,1,NW_S_COMP,203,22,DEBTITH,BA_m21,debtith,debt,Simple,ish,RastleFiller,4,656,6.49,S,S,4,7,1,Small
S103,972,1,NW_S_COMP,203,23,YANKODY,BA_m21,yankody,yank,Simple,ory,RastleFiller,2,51,3.93,S,S,4,7,1,Small
S103,989,0,NW_S_COMP,203,24,FIENDILM,BA_m21,fiendilm,fiend,Simple,ism,XuTaft,4,53,3.97,S,S,5,8,1,Small
S103,699,1,NW_S_COMP,203,25,HUMIDOES,BA_m21,humidoes,humid,Simple,ous,XuTaft,4,92,4.52,S,S,5,8,1,Small
S103,862,1,NW_L_COMP,204,1,STIRANGE,BA_m21,stirange,stir,Simple,ance,Crepaldi,12,841,6.73,L,L,4,8,1,Large
S103,881,0,NW_L_COMP,204,2,TRIPADY,BA_m21,tripady,trip,Simple,ary,Crepaldi,9,1382,7.23,L,L,4,7,1,Large
S103,919,1,NW_L_COMP,204,3,FLITENGE,BA_m21,flitenge,flit,Simple,ence,Crepaldi,11,599,6.4,L,S,4,8,1,Large
S103,697,0,NW_L_COMP,204,4,RIPENGE,BA_m21,ripenge,rip,Simple,ence,Crepaldi,8,471,6.15,L,S,3,7,1,Large
S103,660,1,NW_L_COMP,204,5,SHEETEL,BA_m21,sheetel,sheet,Simple,er,Crepaldi,14,1009,6.92,L,L,5,7,1,Large
S103,718,1,NW_L_COMP,204,6,GASFIL,BA_m21,gasfil,gas,Simple,ful,Crepaldi,33,1501,7.31,L,L,3,6,1,Large
S103,989,0,NW_L_COMP,204,7,ANGELITH,BA_m21,angelith,angel,Simple,ish,Crepaldi,17,652,6.48,L,S,5,8,1,Large
S103,993,0,NW_L_COMP,204,8,INKILM,BA_m21,inkilm,ink,Simple,ish,Crepaldi,12,290,5.67,L,S,3,6,1,Large
S103,914,0,NW_L_COMP,204,9,ILLILT,BA_m21,illilt,ill,Simple,ist,Crepaldi,27,2375,7.77,L,L,3,6,1,Large
S103,802,1,NW_L_COMP,204,10,COLDIDY,BA_m21,coldidy,cold,Simple,ity,Crepaldi,14,3585,8.18,L,L,4,7,1,Large
S103,519,0,NW_L_COMP,204,11,MOUTHIME,BA_m21,mouthime,mouth,Simple,ize,Crepaldi,18,2866,7.96,L,L,5,8,1,Large
S103,744,1,NW_L_COMP,204,12,MUDLA,BA_m21,mudla,mud,Simple,ly,Crepaldi,16,912,6.82,L,L,3,5,1,Large
S103,899,0,NW_L_COMP,204,13,ADDMANT,BA_m21,addmant,add,Simple,ment,Crepaldi,10,5883,8.68,L,L,3,7,1,Large
S103,717,1,NW_L_COMP,204,14,PASSMANT,BA_m21,passmant,pass,Simple,ment,Crepaldi,43,10035,9.21,L,L,4,8,1,Large
