SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S101,661,1,NW_S_SIMP,205,23,NULLITH,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,nullith,null,Simple,ish,XuTaft,4,45,3.81,S,S,4,7,2,Small
S101,675,1,NW_S_SIMP,205,24,FEVERIME,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,feverime,fever,Simple,ize,XuTaft,4,594,6.39,S,S,5,8,2,Small
S101,757,1,NW_S_SIMP,205,25,ADVERTISELA,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,advertisela,advertise,Simple,ly,XuTaft,4,4.76,1.56,S,S,9,11,2,Small
S101,994,0,NW_L_SIMP,206,1,PRAYANGE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,prayange,pray,Simple,ance,Crepaldi,9,1055,6.96,L,L,4,8,2,Large
S101,653,0,NW_L_SIMP,206,2,BOGADY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,bogady,bog,Simple,ary,Crepaldi,12,259,5.56,L,S,3,6,2,Large
S101,994,0,NW_L_SIMP,206,3,BANDADY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,bandady,band,Simple,ary,Crepaldi,26,981,6.89,L,L,4,7,2,Large
S101,993,0,NW_L_SIMP,206,4,BEGENGE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,begenge,beg,Simple,ence,Crepaldi,8,604,6.4,L,S,3,7,2,Large
S101,863,0,NW_L_SIMP,206,5,PICKENGE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,pickenge,pick,Simple,ence,Crepaldi,20,3385,8.13,L,L,4,8,2,Large
S101,980,1,NW_L_SIMP,206,6,TAXFIL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,taxfil,tax,Simple,ful,Crepaldi,14,2763,7.92,L,L,3,6,2,Large
S101,815,1,NW_L_SIMP,206,7,HABITIG,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,habitig,habit,Simple,ic,Crepaldi,16,2066,7.63,L,L,5,7,2,Large
S101,994,0,NW_L_SIMP,206,8,BEANITH,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,beanith,bean,Simple,ish,Crepaldi,9,425,6.05,L,S,4,7,2,Large
S101,708,1,NW_L_SIMP,206,9,WIGITH,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,wigith,wig,Simple,ish,Crepaldi,8,262,5.57,L,S,3,6,2,Large
S101,604,0,NW_L_SIMP,206,10,ELBOWILM,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,elbowilm,elbow,Simple,ish,Crepaldi,18,1756,7.47,L,L,5,8,2,Large
S101,870,1,NW_L_SIMP,206,11,WITCHITH,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,witchith,witch,Simple,ish,Crepaldi,11,890,6.79,L,L,5,8,2,Large
S101,993,0,NW_L_SIMP,206,12,EARILT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,earilt,ear,Simple,ist,Crepaldi,16,1711,2.77,L,S,3,6,2,Large
S101,987,0,NW_L_SIMP,206,13,POORIDY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,pooridy,poor,Simple,ity,Crepaldi,11,4350,8.38,L,L,4,7,2,Large
S101,993,0,NW_L_SIMP,206,14,NUTLA,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,nutla,nut,Simple,ly,Crepaldi,31,946,6.85,L,L,3,5,2,Large
S101,687,1,NW_L_SIMP,206,15,TOWERLA,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,towerla,tower,Simple,ly,Crepaldi,9,1180,7.07,L,L,5,7,2,Large
S101,699,1,NW_L_SIMP,206,16,SHOOTMANT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,shootmant,shoot,Simple,ment,Crepaldi,23,1828,7.51,L,L,5,9,2,Large
S101,627,0,NW_L_SIMP,206,17,LONGNELS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,longnels,long,Simple,ness,Crepaldi,59,19076,9.86,L,L,4,8,2,Large
S101,920,1,NW_L_SIMP,206,18,CLASSOES,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,classoes,class,Simple,ous,Crepaldi,29,6216,8.73,L,L,5,8,2,Large
S101,988,0,NW_L_SIMP,206,19,SMOOTHFIL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,smoothfil,smooth,Simple,ful,Graves,12,1042,6.95,L,L,6,9,2,Large
S101,479,0,NW_L_SIMP,206,20,GROWILT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,growilt,grow,Simple,ic,Graves,14,8545,9.05,L,L,4,7,2,Large
