SubjID,z_vcb,z_spl,z_art,Dim.1,Dim.2,correct,response_time,trial_type,target,word_trig,cond_trig,Base,affix,FS,BF,LogFS,LogBF,BaseLength,WholeFormLength,List
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,613,CW,avoidable,2,201,avoid,able,5,2172,1.6094379124341003,7.68,5,9,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,603,CW,jumping,30,202,jump,jumping,15,1395,2.70805020110221,7.24,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,559,CW,widowed,7,201,widow,ed,5,499,1.6094379124341003,6.21,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,455,CW,dreamer,12,202,dream,er,19,2325,2.9444389791664403,7.75,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,544,CW,renter,9,202,rent,er,13,1690,2.5649493574615367,7.43,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,607,CW,campaigner,15,201,campaign,er,3,2003,1.0986122886681098,7.6,8,10,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,767,CW,insistent,9,201,insist,ent,5,1631,1.6094379124341003,7.4,6,9,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,490,CW,faithful,20,202,faith,ful,12,1320,2.4849066497880004,7.19,5,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,472,CW,conductor,44,202,conduct,or,16,1084,2.772588722239781,6.99,7,9,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,612,CW,verbal,50,202,verb,al,22,423,3.091042453358316,6.05,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,599,CW,grimly,31,201,grim,ly,6,552,1.791759469228055,6.31,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,855,CW,toaster,10,201,toast,er,6,339,1.791759469228055,5.83,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,495,CW,strangeness,46,201,strange,ness,4,2912,1.3862943611198906,7.98,7,11,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,518,CW,creamy,49,202,cream,y,10,792,2.302585092994046,6.67,5,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,401,CW,hunter,10,202,hunt,er,18,1762,2.8903717578961645,7.47,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,729,CW,angelic,25,201,angel,ic,7,567,1.9459101490553132,6.34,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,736,CW,barker,2,202,bark,er,8,387,2.0794415416798357,5.96,4,6,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,517,CW,bootless,32,202,boot,less,19,940,2.9444389791664403,6.85,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,631,CW,mildness,42,201,mild,ness,4,676,1.3862943611198906,6.52,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,667,CW,speller,3,202,spell,er,10,781,2.302585092994046,6.66,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,690,CW,dietary,6,201,diet,ary,6,1181,1.791759469228055,7.07,4,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,511,CW,bearded,8,201,beard,ed,7,578,1.9459101490553132,6.36,5,7,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,711,CW,doubtful,21,202,doubt,ful,8,4135,2.0794415416798357,8.33,5,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,725,CW,collector,46,202,collect,or,23,3221,3.1354942159291497,8.08,7,9,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,980,CW,deafness,39,202,deaf,ness,9,290,2.1972245773362196,5.67,4,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,501,CW,composer,6,202,compose,er,13,1187,2.5649493574615367,7.08,7,8,BA
S103,-0.00513511828365796,0.7111822676540035,0.8936514053794943,0.9008754556010866,0.2951016580929784,1,654,CW,madness,41,202,mad,ness,10,1298,2.302585092994046,7.17,3,7,BA
